#,NODE,TYPE,TECHNIQUE,ID TEST,DESCRIPTION,FILE PATH,FILE CONTENT,EXPECTED RESULT,OBSERVATIONS,
1,1,NT,VALID,test_revoke_key_ok,EVERYTHING OK,tests_revoke_key/ok_final.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}"," ""[""mail1@uc3m.es"",""mail2@uc3m.es""]""",Covers 62 (deletion),
2,1,NT,DELETION,test_revoke_key_empty_file,EMPTY FILE,tests_revoke_key/empty_file.json,,AccessManagerException: File is empty,,
3,1,NT,DUPLICATION,test_revoke_key_1_double_json,TWO JSONS IN ONE FILE,tests_revoke_key/double_json.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
4,2,NT,DELETION,test_revoke_key_2_no_opening_bracket,NO OPENING BRACKET,tests_revoke_key/no_opening_brackets.json,"""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final "",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
5,2,NT,DUPLICATION,test_revoke_key_double_opening_bracket,TWO OPENING BRACKETS,tests_revoke_key/double_opening_bracket.json,"{{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
6,3,NT,DELETION,test_revoke_key_no_data,NO DATA,tests_revoke_key/no_data.json,{},AccessManagerException: Incorrect data format,,
7,3,NT,DUPLICATION,test_revoke_key_double_data,TWICE THE DATA,tests_revoke_key/double_data.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
8,4,NT,DELETION,test_revoke_key_no_closing_bracket,NO CLOSING BRACKETS,tests_revoke_key/no_closing_bracket.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
9,4,NT,DUPLICATION,test_revoke_key_double_closing_bracket,TWO CLOSING BRACKETS,tests_revoke_key/double_closing_bracket.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}}",AccessManagerException: Incorrect JSON Syntax,,
10,5,T,MODIFICATION,test_revoke_key_wrong_left_bracket,WRONG SYMBOL INSTEAD OF BRACKET,tests_revoke_key/wrong_left_bracket.json,"#""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
11,6,NT,DELETION,test_revoke_key_left_field_deletion,NO LEFT FIELD,tests_revoke_key/no_left_field.json,"{,""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
12,6,NT,DUPLICATION,test_revoke_key_Left_field_twice,LEFT FIELD TWICE,tests_revoke_key/left_field_twice.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627""""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
13,7,NT,DELETION,test_revoke_key_no_separator_f1,NO COMMA AFTER FIELD 1,tests_revoke_key/no_separator_f1.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627""""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,Covers 9,
14,7,NT,DUPLICATION,test_revoke_key_duplicated_separator_f1,TWO COMMAS AFTER FIELD 1,tests_revoke_key/duplicated_separator_f1.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",,""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,Covers 9,
15,8,NT,DELETION,test_revoke_key_no_middle_field,NO MIDDLE FIELD ,tests_revoke_key/no_middle_field.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",,""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
16,8,NT,DUPLICATION,test_revoke_key_middle_field_twice,MIDDLE FIELD TWICE,tests_revoke_key/middle_field_twice.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final""""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
17,10,NT,DELETION,test_revoke_key_no_third_field,NO THIRD FIELD,tests_revoke_key/no_third_field.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",",AccessManagerException: Incorrect JSON Syntax,,
18,10,NT,DUPLICATION,test_revoke_key_third_field_duplicated,THIRD FIELD DUPLICATED,tests_revoke_key/third_field_duplicated.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
19,11,T,MODIFICATION,test_revoke_key_wrong_right_bracket,WRONG SYMBOL INSTEAD OF BRACKET,tests_revoke_key/wrong_right_bracket.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""#",AccessManagerException: Incorrect JSON Syntax,,
20,12,NT,DELETION,test_revoke_key_no_label1,DELETE LABEL FIELD 1,tests_revoke_key/no_label1.json,"{:""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
21,12,NT,DUPLICATION,test_revoke_key_duplication_layer_f1,DUPLICATION LAYER FIELD 1 ,tests_revoke_key/duplication_layer_f1.json,"{""Key""""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
22,13,NT,DELETION,test_revoke_key_double_colon_missing,NO DOUBLE COLON ,tests_revoke_key/double_colon_missing.json,"{""Key""""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,"Covers 17, 21",
23,13,NT,DUPLICATION,test_revoke_key_double_equals,DOUBLE EQUALS,tests_revoke_key/double_equals.json,"{""Key""::""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
24,14,NT,DELETION,test_revoke_key_no_value_f1,NO VALUE FIELD 1,tests_revoke_key/no_value_f1.json,"{""Key"":,""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
25,14,NT,DUPLICATION,test_revoke_key_duplicated_value_f1,DUPLICATED VALUE FIELD 1,tests_revoke_key/duplicated_value_f1.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627""""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
26,15,T,MODIFICATION,test_revoke_key_wrong_separator,HASTAG AS A SEPARATOR,tests_revoke_key/wrong_separator.json,"{""Key""#""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,Covers 19,
27,16,NT,DELETION,test_revoke_key_no_label_f2,NO LABEL FIELD 2 ,tests_revoke_key/no_label_f2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",:""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
28,16,NT,DUPLICATION,test_revoke_key_duplicated_label_f2,DUPLICATED FIELD 2 LABEL,tests_revoke_key/duplicated_label_field_2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation""""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
29,18,NT,DELETION,test_revoke_key_no_value_f2,NO VALUE FIELD 2,tests_revoke_key/no_value_f2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":,""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
30,18,NT,DUPLICATION,test_revoke_key_duplicate_value_f2,DUPLICATE VALUE FIELD 2 ,tests_revoke_key/duplicate_value_f2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Temporal""""Temporal"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
31,20,NT,DELETION,test_revoke_key_no_label_f3,MISSING FIELD 3 LABEL,tests_revoke_key/no_label_f3.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",:""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
32,20,NT,DUPLICATION,test_revoke_key_double_label_f3,DOUBLE LABEL FIELD 3,tests_revoke_key/double_label_f3.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason""""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
33,22,NT,DELETION,test_revoke_key_no_value_f3,NO VALUE FIELD 3,tests_revoke_key/no_value_f3.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":}",AccessManagerException: Incorrect JSON Syntax,,
34,22,NT,DUPLICATION,test_revoke_key_duplicated_value_f3,DUPLICATED  VALUE FIELD 3,tests_revoke_key/duplicated_value_f3.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
35,23,NT,DELETION,test_revoke_key_no_quotation,NO QUOTATION LABEL 1,tests_revoke_key/no_quotation.json,"{Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,"Covers 25, 27, 29, 30, 32, 34, 36, 37, 39, 41, 43",
36,23,NT,DUPLICATION,test_revoke_key_duble_quotation,DOUBLE QUOTATION,tests_revoke_key/duble_quotation.json,"{""""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
37,24,NT,DELETION,test_revoke_key_no_value_l1,MISSING VALUE FOR LABEL 1,tests_revoke_key/no_value_l1.json,"{"""":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,"Covers 46, 47, 49, 50, 52, 53, 55, 56, 58, 59, 61",
38,24,NT,DUPLICATION,test_revoke_key_double_value_l1,DOUBLE VALUE LABEL 1,tests_revoke_key/double_value_l1.json,"{""KeyKey"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
39,26,T,MODIFICATION,test_revoke_key_wrong_equal,WRONG EQUAL SYMBOL,tests_revoke_key/wrong_equal.json,"{""Key""#""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,"Covers 33, 40",
40,28,NT,DELETION,test_revoke_key_no_value_1,MISSING VALUE FOR FIELD 1,tests_revoke_key/no_value_1.json,"{""Key"":"""",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
41,28,NT,BV - 0,test_revoke_key_value1_bv_0,KEY OF LENGHT 63,tests_revoke_key/value1_bv_0.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf9336162"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
42,28,NT,BV - 2,test_revoke_key_value1_bv_2,KEY OF LENGHT 65,tests_revoke_key/value1_bv_2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627a"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
43,31,NT,DELETION,test_revoke_key_no_value_l2,NO VALUE LABEL 2,tests_revoke_key/no_value_l2.json,"{""Key"": ""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"","""":""Temporal"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
44,31,NT,DUPLICATION,test_revoke_key_duplicated_value_l2,DUPLICATED VALUE FOR LABEL 2,tests_revoke_key/duplicated_value_l2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""RevocationRevocation"":""Temporal"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
